epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.047,1.38105,1.25986,1.39629,0.72254,0.48357,0.55789,0.32113,1.46791,4.268,1.52994,3.32923e-05,3.32923e-05,0.066741
2,366.799,1.323,1.16728,1.35332,0.74751,0.63354,0.68647,0.41701,1.24256,8.58302,1.31166,6.5966e-05,6.5966e-05,0.0334404
3,549.983,1.27765,1.09822,1.32387,0.87588,0.74179,0.83387,0.5313,1.08421,2.30136,1.15082,9.79798e-05,9.79798e-05,0.000139031
4,732.638,1.25771,1.07173,1.31025,0.87686,0.74219,0.8344,0.53556,1.07286,2.12767,1.14641,9.703e-05,9.703e-05,9.703e-05
5,908.635,1.24849,1.06794,1.30459,0.87683,0.74509,0.8369,0.53788,1.07063,2.44586,1.14228,9.604e-05,9.604e-05,9.604e-05
6,1074.61,1.25202,1.06228,1.309,0.87974,0.74806,0.83898,0.54296,1.06078,2.28242,1.13786,9.505e-05,9.505e-05,9.505e-05
7,1240.77,1.24877,1.06056,1.30266,0.87888,0.74995,0.84078,0.54317,1.06299,2.10275,1.13731,9.406e-05,9.406e-05,9.406e-05
8,1405.43,1.25233,1.06333,1.30612,0.88011,0.75096,0.84086,0.54526,1.05653,2.17499,1.13655,9.307e-05,9.307e-05,9.307e-05
9,1570.67,1.24077,1.0585,1.30526,0.87891,0.7494,0.84002,0.54677,1.04956,2.47322,1.13391,9.208e-05,9.208e-05,9.208e-05
10,1736,1.24923,1.05291,1.30232,0.88334,0.75075,0.84302,0.54642,1.05617,1.98045,1.13383,9.109e-05,9.109e-05,9.109e-05
11,1901.34,1.24435,1.05237,1.30118,0.88124,0.75051,0.84098,0.54626,1.05141,2.1791,1.13276,9.01e-05,9.01e-05,9.01e-05
12,2084.76,1.2385,1.04574,1.2998,0.88287,0.75192,0.8424,0.54721,1.051,2.28874,1.12995,8.911e-05,8.911e-05,8.911e-05
13,2270.82,1.23904,1.04922,1.30032,0.88187,0.7523,0.84269,0.55124,1.04233,2.31067,1.12963,8.812e-05,8.812e-05,8.812e-05
14,2456.42,1.23392,1.04178,1.29412,0.88391,0.75195,0.84314,0.55111,1.04093,2.26752,1.12606,8.713e-05,8.713e-05,8.713e-05
15,2638.46,1.23506,1.04595,1.29639,0.88488,0.75278,0.84431,0.55047,1.04577,2.06339,1.12798,8.614e-05,8.614e-05,8.614e-05
16,2820.1,1.22726,1.03274,1.28938,0.88139,0.7558,0.84391,0.54977,1.04612,2.38123,1.12601,8.515e-05,8.515e-05,8.515e-05
17,3002.19,1.23055,1.03498,1.29314,0.88656,0.75398,0.84466,0.55166,1.04279,2.11987,1.12312,8.416e-05,8.416e-05,8.416e-05
18,3169.76,1.23394,1.03278,1.29212,0.88473,0.75485,0.84578,0.55335,1.03911,2.1754,1.12178,8.317e-05,8.317e-05,8.317e-05
