epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.2029,1.33009,1.26009,1.25665,0.82897,0.77988,0.82079,0.46727,1.47031,1.0154,1.32813,0.000473952,0.000473952,0.000473952
2,78.8677,1.37407,1.0677,1.30296,0.79556,0.70531,0.7829,0.43435,1.45827,1.11423,1.32885,0.000944013,0.000944013,0.000944013
3,116.772,1.3709,1.05749,1.31439,0.79661,0.72541,0.79847,0.45239,1.4699,1.12203,1.32847,0.00140779,0.00140779,0.00140779
4,154.31,1.36093,1.0172,1.29939,0.85728,0.78418,0.84882,0.51674,1.28158,0.81611,1.21104,0.00140071,0.00140071,0.00140071
5,192.061,1.30641,0.93179,1.27261,0.88121,0.80539,0.88163,0.56673,1.19664,0.75373,1.17079,0.00139127,0.00139127,0.00139127
6,229.858,1.27518,0.90479,1.25804,0.88474,0.85017,0.90322,0.59441,1.15541,0.69978,1.14695,0.00138184,0.00138184,0.00138184
7,267.712,1.24704,0.84902,1.2399,0.87571,0.84768,0.90107,0.57763,1.20008,0.71873,1.17227,0.00137241,0.00137241,0.00137241
8,305.387,1.23134,0.83521,1.23584,0.90544,0.82612,0.90918,0.59542,1.14727,0.72142,1.14902,0.00136298,0.00136298,0.00136298
9,343.182,1.22616,0.8299,1.23522,0.88118,0.82657,0.90366,0.59272,1.13256,0.7042,1.14887,0.00135355,0.00135355,0.00135355
10,380.779,1.19216,0.78928,1.20371,0.90921,0.8727,0.93296,0.62881,1.08382,0.66122,1.12101,0.00134412,0.00134412,0.00134412
11,418.461,1.19187,0.7835,1.21338,0.91153,0.86437,0.92543,0.63606,1.0416,0.63599,1.09316,0.00133469,0.00133469,0.00133469
12,456.162,1.17843,0.77303,1.20311,0.91704,0.87228,0.93483,0.61542,1.17593,0.61909,1.13446,0.00132525,0.00132525,0.00132525
13,493.759,1.15344,0.74125,1.18768,0.89596,0.86135,0.92897,0.63821,1.05382,0.61231,1.11009,0.00131582,0.00131582,0.00131582
14,531.474,1.16078,0.74071,1.20005,0.9216,0.85629,0.92505,0.6273,1.04283,0.6246,1.10438,0.00130639,0.00130639,0.00130639
15,569.104,1.14558,0.72923,1.18243,0.93333,0.87792,0.94948,0.64955,1.03409,0.58404,1.08751,0.00129696,0.00129696,0.00129696
16,606.835,1.12809,0.70442,1.1763,0.90005,0.89232,0.93782,0.63346,1.09497,0.60212,1.10014,0.00128753,0.00128753,0.00128753
17,644.435,1.11888,0.69866,1.16854,0.91065,0.86425,0.93471,0.64175,1.05016,0.59749,1.09721,0.0012781,0.0012781,0.0012781
18,682.061,1.10865,0.68419,1.16591,0.92061,0.88426,0.93893,0.66251,1.00347,0.58306,1.08222,0.00126867,0.00126867,0.00126867
19,719.806,1.10139,0.68689,1.16739,0.92377,0.89169,0.94302,0.65027,1.06304,0.58531,1.09581,0.00125923,0.00125923,0.00125923
20,757.381,1.09439,0.68068,1.1627,0.927,0.88653,0.94377,0.65822,1.0138,0.57713,1.07841,0.0012498,0.0012498,0.0012498
21,794.929,1.09254,0.67297,1.15819,0.91589,0.88823,0.94146,0.65695,1.02342,0.57967,1.0823,0.00124037,0.00124037,0.00124037
22,832.611,1.08189,0.65509,1.15326,0.91036,0.90235,0.94742,0.65638,1.04924,0.54386,1.07376,0.00123094,0.00123094,0.00123094
23,870.22,1.05996,0.64782,1.13711,0.9364,0.89255,0.94995,0.67083,0.99754,0.53975,1.07028,0.00122151,0.00122151,0.00122151
24,907.975,1.06252,0.65468,1.1414,0.92644,0.89551,0.93784,0.66306,1.00594,0.56577,1.07196,0.00121208,0.00121208,0.00121208
25,945.489,1.06083,0.63858,1.13925,0.94224,0.90399,0.95096,0.66957,1.01609,0.51822,1.06622,0.00120265,0.00120265,0.00120265
26,983.11,1.06143,0.63355,1.14373,0.92441,0.91191,0.94759,0.67075,1.01423,0.53505,1.07177,0.00119322,0.00119322,0.00119322
27,1020.86,1.04124,0.62896,1.13648,0.91854,0.89966,0.94697,0.67194,0.98998,0.55221,1.06327,0.00118378,0.00118378,0.00118378
28,1058.7,1.05022,0.62328,1.13428,0.91853,0.90119,0.94876,0.68695,0.95878,0.53231,1.05715,0.00117435,0.00117435,0.00117435
29,1096.4,1.04429,0.62772,1.1378,0.92704,0.9095,0.95297,0.68098,0.96892,0.51483,1.0562,0.00116492,0.00116492,0.00116492
30,1133.98,1.03871,0.62123,1.1296,0.93824,0.91041,0.95447,0.6797,0.97933,0.51476,1.05465,0.00115549,0.00115549,0.00115549
31,1171.58,1.03671,0.61498,1.12967,0.93021,0.90048,0.95055,0.67705,0.97739,0.52012,1.05712,0.00114606,0.00114606,0.00114606
32,1209.15,1.02329,0.59926,1.11837,0.91842,0.91322,0.94704,0.68648,0.94882,0.52502,1.04436,0.00113663,0.00113663,0.00113663
33,1246.74,1.02835,0.60022,1.12114,0.93114,0.9141,0.95594,0.68285,0.98792,0.50985,1.05757,0.0011272,0.0011272,0.0011272
34,1284.41,1.02231,0.60546,1.12456,0.92931,0.92444,0.95236,0.68228,0.98125,0.52277,1.06293,0.00111776,0.00111776,0.00111776
35,1322.02,1.01738,0.59447,1.11447,0.91607,0.90915,0.94047,0.66784,0.99082,0.53466,1.06021,0.00110833,0.00110833,0.00110833
